survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,alive,alone,embarked_Q,embarked_S,fare_normalized,age_normalized
0,1,0,42.0,1,0,52.0,First,man,True,no,False,0,1,0.10149724044618187,0.5224930887157577
1,3,0,28.0,0,0,7.2292,Third,man,True,yes,True,0,0,0.014110458666029575,0.34656948982156316
0,3,0,21.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.2586076903744659
0,3,1,18.0,2,0,18.0,Third,woman,False,no,False,0,1,0.03513366015444757,0.22090977632571
1,3,1,14.0,1,0,11.2417,Third,child,False,yes,False,0,0,0.021942337075458514,0.17064589092736868
0,3,1,40.0,1,0,9.475,Third,woman,False,no,False,0,1,0.018493968331299484,0.49736114601658704
0,2,1,27.0,1,0,21.0,Second,woman,False,no,False,0,1,0.04098927018018883,0.33400351847197784
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,0,0.015411575213749286,0.34656948982156316
1,2,1,3.0,1,2,41.5792,Second,child,False,yes,False,0,0,0.08115719346076702,0.032420206081930136
1,3,1,19.0,0,0,7.8792,Third,woman,False,yes,True,1,0,0.01537917417160685,0.2334757476752953
0,3,0,28.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.34656948982156316
0,3,0,28.0,1,0,15.5,Third,man,True,no,False,1,0,0.030253985132996517,0.34656948982156316
1,3,1,28.0,0,0,7.75,Third,woman,False,yes,True,1,0,0.015126992566498259,0.34656948982156316
0,3,0,28.0,2,0,21.6792,Third,man,True,no,False,0,0,0.04231498029001666,0.34656948982156316
0,3,1,18.0,1,0,17.8,Third,woman,False,no,False,0,1,0.034743286152731485,0.22090977632571
0,3,0,7.0,4,1,39.6875,Third,child,False,no,False,0,1,0.07746484096553544,0.08268409148027142
0,3,0,21.0,0,0,7.8,Third,man,True,no,True,0,1,0.01522458606692728,0.2586076903744659
1,1,1,49.0,1,0,76.7292,First,woman,False,yes,False,0,0,0.1497654242623688,0.610454888162855
1,2,1,29.0,1,0,26.0,Second,woman,False,yes,False,0,1,0.050748620223090936,0.35913546117114853
0,1,0,65.0,0,1,61.9792,First,man,True,no,False,0,0,0.1209753416358076,0.8115104297562202
1,1,0,28.0,0,0,35.5,First,man,True,yes,True,0,1,0.06929138530460494,0.34656948982156316
1,2,1,21.0,0,0,10.5,Second,woman,False,yes,True,0,1,0.020494635090094415,0.2586076903744659
0,3,0,28.5,0,0,7.2292,Third,man,True,no,True,0,0,0.014110458666029575,0.35285247549635584
1,2,1,5.0,1,2,27.75,Second,child,False,yes,False,0,1,0.05416439273810667,0.05755214878110078
0,3,0,11.0,5,2,46.9,Third,child,False,no,False,0,1,0.09154270340242172,0.1329479768786127
0,3,0,22.0,0,0,7.2292,Third,man,True,no,True,0,0,0.014110458666029575,0.2711736617240512
1,1,1,38.0,0,0,80.0,First,woman,False,yes,True,0,1,0.15614960068643363,0.4722292033174164
0,1,0,45.0,1,0,83.475,First,man,True,no,False,0,1,0.16293234896625058,0.5601910027645137
0,3,0,4.0,3,2,27.9,Third,child,False,no,False,0,1,0.05445717323939373,0.04498617743151546
0,1,0,28.0,0,0,27.7208,First,man,True,no,True,0,0,0.05410739813385612,0.34656948982156316
1,3,0,28.0,1,1,15.2458,Third,man,True,yes,False,0,0,0.029757819776815374,0.34656948982156316
1,2,1,29.0,0,0,10.5,Second,woman,False,yes,True,0,1,0.020494635090094415,0.35913546117114853
0,3,0,19.0,0,0,8.1583,Third,man,True,no,True,0,1,0.015923941091001644,0.2334757476752953
1,3,1,17.0,4,2,7.925,Third,woman,False,yes,False,0,1,0.015468569817999833,0.20834380497612465
0,3,0,26.0,2,0,8.6625,Third,man,True,no,False,0,1,0.016908073949327893,0.32143754712239253
0,2,0,32.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.39683337521990447
0,3,1,16.0,5,2,46.9,Third,woman,False,no,False,0,1,0.09154270340242172,0.19577783362653933
0,2,0,21.0,0,0,73.5,Second,man,True,no,True,0,1,0.1434624456306609,0.2586076903744659
0,3,0,26.0,1,0,14.4542,Third,man,True,no,False,0,0,0.028212719478023115,0.32143754712239253
1,3,0,32.0,0,0,56.4958,Third,man,True,yes,True,0,1,0.11027245763075773,0.39683337521990447
0,3,0,25.0,0,0,7.65,Third,man,True,no,True,0,1,0.014931805565640218,0.3088715757728072
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.34656948982156316
0,3,0,28.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.34656948982156316
1,2,0,0.83,0,2,29.0,Second,child,False,yes,False,0,1,0.056604230248832196,0.005152048253329982
1,3,1,30.0,0,0,12.475,Third,woman,False,yes,True,0,1,0.024349578357040744,0.37170143252073384
0,3,0,22.0,0,0,9.0,Third,man,True,no,True,0,1,0.017566830077223785,0.2711736617240512
1,3,0,29.0,0,0,9.5,Third,man,True,yes,True,0,1,0.018542765081513996,0.35913546117114853
1,3,1,28.0,0,0,7.7875,Third,woman,False,yes,True,1,0,0.015200187691820024,0.34656948982156316
0,1,0,28.0,0,0,47.1,First,man,True,no,True,0,1,0.09193307740413781,0.34656948982156316
1,2,1,17.0,0,0,10.5,Second,woman,False,yes,True,0,1,0.020494635090094415,0.20834380497612465
1,3,1,33.0,3,0,15.85,Third,woman,False,yes,False,0,1,0.030937139635999665,0.4093993465694898
0,3,0,16.0,1,3,34.375,Third,man,True,no,False,0,1,0.06709553154495196,0.19577783362653933
0,3,0,28.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.34656948982156316
1,1,1,23.0,3,2,263.0,First,woman,False,yes,False,0,1,0.5133418122566507,0.2837396330736366
0,3,0,24.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.2963056044232219
0,3,0,29.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.35913546117114853
0,3,0,20.0,0,0,7.8542,Third,man,True,no,True,0,1,0.015330377421392339,0.24604171902488062
0,1,0,46.0,1,0,61.175,First,man,True,no,False,0,1,0.11940564777490723,0.5727569741140991
0,3,0,26.0,1,2,20.575,Third,man,True,no,False,0,1,0.04015972542654215,0.32143754712239253
0,3,0,59.0,0,0,7.25,Third,man,True,no,True,0,1,0.014151057562208049,0.7361146016587082
0,3,0,28.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.34656948982156316
0,1,0,71.0,0,0,34.6542,First,man,True,no,True,0,0,0.06764049365134761,0.8869062578537321
1,1,0,23.0,0,1,63.3583,First,man,True,yes,False,0,0,0.12366716556464086,0.2837396330736366
1,2,1,34.0,0,1,23.0,Second,woman,False,yes,False,0,1,0.044893010197349675,0.4219653179190751
0,2,0,34.0,1,0,26.0,Second,man,True,no,False,0,1,0.050748620223090936,0.4219653179190751
0,3,1,28.0,0,0,7.8958,Third,woman,False,no,True,0,1,0.015411575213749286,0.34656948982156316
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.34656948982156316
0,1,0,21.0,0,1,77.2875,First,man,True,no,False,0,1,0.15085515328815924,0.2586076903744659
0,3,0,33.0,0,0,8.6542,Third,man,True,no,True,0,1,0.016891873428256675,0.4093993465694898
0,3,0,37.0,2,0,7.925,Third,man,True,no,False,0,1,0.015468569817999833,0.4596632319678311
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.34656948982156316
1,3,1,21.0,0,0,7.65,Third,woman,False,yes,True,0,1,0.014931805565640218,0.2586076903744659
1,3,0,28.0,0,0,7.775,Third,man,True,yes,True,0,1,0.015175789316712771,0.34656948982156316
0,3,0,38.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.4722292033174164
1,3,1,28.0,1,0,24.15,Third,woman,False,yes,False,1,0,0.04713766070721715,0.34656948982156316
0,1,0,47.0,0,0,52.0,First,man,True,no,True,0,1,0.10149724044618187,0.5853229454636844
0,3,1,14.5,1,0,14.4542,Third,child,False,no,False,0,0,0.028212719478023115,0.17692887660216136
0,3,0,22.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.2711736617240512
0,3,1,20.0,1,0,9.825,Third,woman,False,no,False,0,1,0.019177122834302632,0.24604171902488062
0,3,1,17.0,0,0,14.4583,Third,woman,False,no,True,0,0,0.028220722145058292,0.20834380497612465
0,3,0,21.0,0,0,7.925,Third,man,True,no,True,0,1,0.015468569817999833,0.2586076903744659
0,3,0,70.5,0,0,7.75,Third,man,True,no,True,1,0,0.015126992566498259,0.8806232721789394
0,2,0,29.0,1,0,21.0,Second,man,True,no,False,0,1,0.04098927018018883,0.35913546117114853
0,1,0,24.0,0,1,247.5208,First,man,True,no,False,0,0,0.4831284260198326,0.2963056044232219
0,3,1,2.0,4,2,31.275,Third,child,False,no,False,0,1,0.06104473451835265,0.01985423473234481
0,2,0,21.0,2,0,73.5,Second,man,True,no,False,0,1,0.1434624456306609,0.2586076903744659
0,3,0,28.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.34656948982156316
0,2,0,32.5,1,0,30.0708,Second,man,True,no,False,0,0,0.058694292654020104,0.40311636089469716
1,2,1,32.5,0,0,13.0,Second,woman,False,yes,True,0,1,0.025374310111545468,0.40311636089469716
0,1,0,54.0,0,1,77.2875,First,man,True,no,False,0,1,0.15085515328815924,0.6732847449107816
1,3,0,12.0,1,0,11.2417,Third,child,False,yes,False,0,0,0.021942337075458514,0.14551394822819805
0,3,0,28.0,0,0,7.75,Third,man,True,no,True,1,0,0.015126992566498259,0.34656948982156316
1,3,0,24.0,0,0,7.1417,Third,man,True,yes,True,0,1,0.01393967004027879,0.2963056044232219
1,3,1,28.0,1,1,22.3583,Third,woman,False,yes,False,0,0,0.04364049521284362,0.34656948982156316
0,3,0,45.0,0,0,6.975,Third,man,True,no,True,0,1,0.013614293309848433,0.5601910027645137
0,3,0,33.0,0,0,7.8958,Third,man,True,no,True,0,0,0.015411575213749286,0.4093993465694898
0,3,0,20.0,0,0,7.05,Third,man,True,no,True,0,1,0.013760683560491965,0.24604171902488062
0,3,1,47.0,1,0,14.5,Third,woman,False,no,False,0,1,0.028302115124416098,0.5853229454636844
1,2,1,29.0,1,0,26.0,Second,woman,False,yes,False,0,1,0.050748620223090936,0.35913546117114853
0,2,0,25.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.3088715757728072
0,2,0,23.0,0,0,15.0458,Second,man,True,no,True,0,0,0.02936744577509929,0.2837396330736366
1,1,1,19.0,0,2,26.2833,First,woman,False,yes,False,0,1,0.051301584996521765,0.2334757476752953
0,1,0,37.0,1,0,53.1,First,man,True,no,False,0,1,0.10364429745562033,0.4596632319678311
0,3,0,16.0,0,0,9.2167,Third,man,True,no,True,0,1,0.01798980030808316,0.19577783362653933
0,1,0,24.0,0,0,79.2,First,man,True,no,True,0,0,0.15458810467956932,0.2963056044232219
0,3,1,28.0,0,2,15.2458,Third,woman,False,no,False,0,0,0.029757819776815374,0.34656948982156316
1,3,1,22.0,0,0,7.75,Third,woman,False,yes,True,0,1,0.015126992566498259,0.2711736617240512
1,3,1,24.0,1,0,15.85,Third,woman,False,yes,False,0,1,0.030937139635999665,0.2963056044232219
0,3,0,19.0,0,0,6.75,Third,man,True,no,True,1,0,0.013175122557917838,0.2334757476752953
0,2,0,18.0,0,0,11.5,Second,man,True,no,True,0,1,0.022446505098674838,0.22090977632571
0,2,0,19.0,1,1,36.75,Second,man,True,no,False,0,1,0.07173122281533045,0.2334757476752953
1,3,0,27.0,0,0,7.7958,Third,man,True,yes,True,0,1,0.015216388212891242,0.33400351847197784
0,3,1,9.0,2,2,34.375,Third,child,False,no,False,0,1,0.06709553154495196,0.10781603417944208
0,2,0,36.5,0,2,26.0,Second,man,True,no,False,0,1,0.050748620223090936,0.4533802462930384
0,2,0,42.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.5224930887157577
0,2,0,51.0,0,0,12.525,Second,man,True,no,True,0,1,0.02444717185746977,0.6355868308620256
1,1,1,22.0,1,0,66.6,First,woman,False,yes,False,0,1,0.12999454257145598,0.2711736617240512
0,3,0,55.5,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.6921337019351597
0,3,0,40.5,0,2,14.5,Third,man,True,no,False,0,1,0.028302115124416098,0.5036441316913798
0,3,0,28.0,0,0,7.3125,Third,man,True,no,True,0,1,0.014273049437744325,0.34656948982156316
0,1,0,51.0,0,1,61.3792,First,man,True,no,False,0,0,0.11980421963065935,0.6355868308620256
1,3,1,16.0,0,0,7.7333,Third,woman,False,yes,True,1,0,0.015094396337354966,0.19577783362653933
0,3,0,30.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.37170143252073384
0,3,0,28.0,0,0,8.6625,Third,man,True,no,True,0,1,0.016908073949327893,0.34656948982156316
0,3,0,28.0,8,2,69.55,Third,man,True,no,False,0,1,0.13575255909676825,0.34656948982156316
0,3,0,44.0,0,1,16.1,Third,man,True,no,False,0,1,0.031425107138144774,0.5476250314149284
1,2,1,40.0,0,0,15.75,Second,woman,False,yes,True,0,1,0.030741952635141623,0.49736114601658704
0,3,0,26.0,0,0,7.775,Third,man,True,no,True,0,1,0.015175789316712771,0.32143754712239253
0,3,0,17.0,0,0,8.6625,Third,man,True,no,True,0,1,0.016908073949327893,0.20834380497612465
0,3,0,1.0,4,1,39.6875,Third,child,False,no,False,0,1,0.07746484096553544,0.007288263382759488
1,3,0,9.0,0,2,20.525,Third,child,False,yes,False,0,1,0.04006213192611313,0.10781603417944208
1,1,1,28.0,0,1,55.0,First,woman,False,yes,False,0,1,0.10735285047192313,0.34656948982156316
0,3,1,45.0,1,4,27.9,Third,woman,False,no,False,0,1,0.05445717323939373,0.5601910027645137
0,1,0,28.0,0,0,25.925,First,man,True,no,True,0,1,0.050602229972447406,0.34656948982156316
0,3,0,28.0,0,0,56.4958,Third,man,True,no,True,0,1,0.11027245763075773,0.34656948982156316
0,1,0,61.0,0,0,33.5,First,man,True,no,True,0,1,0.06538764528744409,0.7612465443578789
0,3,0,4.0,4,1,29.125,Third,child,False,no,False,1,0,0.05684821399990475,0.04498617743151546
1,3,1,1.0,1,1,11.1333,Third,child,False,yes,False,0,1,0.021730754366528396,0.007288263382759488
0,3,0,21.0,0,0,7.925,Third,man,True,no,True,0,1,0.015468569817999833,0.2586076903744659
0,1,0,56.0,0,0,30.6958,First,man,True,no,True,0,0,0.05991421140938287,0.6984166876099522
0,3,0,18.0,1,1,7.8542,Third,man,True,no,False,0,1,0.015330377421392339,0.22090977632571
0,3,0,28.0,3,1,25.4667,Third,man,True,no,False,0,1,0.049707687947515,0.34656948982156316
0,1,1,50.0,0,0,28.7125,First,woman,False,no,True,0,0,0.05604306762136532,0.6230208595124404
0,2,0,30.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.37170143252073384
0,3,0,36.0,0,0,0.0,Third,man,True,no,True,0,1,0.0,0.4470972606182458
0,3,1,28.0,8,2,69.55,Third,woman,False,no,False,0,1,0.13575255909676825,0.34656948982156316
0,2,0,28.0,0,0,15.05,Second,man,True,no,True,0,0,0.02937564362913533,0.34656948982156316
0,3,0,9.0,4,2,31.3875,Third,child,False,no,False,0,1,0.06126431989431795,0.10781603417944208
1,2,0,1.0,2,1,39.0,Second,child,False,yes,False,0,1,0.07612293033463641,0.007288263382759488
1,3,1,4.0,0,2,22.025,Third,child,False,yes,False,0,1,0.04298993693898376,0.04498617743151546
0,1,0,28.0,0,0,50.0,First,man,True,no,True,0,1,0.09759350042902103,0.34656948982156316
1,3,1,28.0,1,0,15.5,Third,woman,False,yes,False,1,0,0.030253985132996517,0.34656948982156316
1,1,0,45.0,0,0,26.55,First,man,True,yes,True,0,1,0.051822148727810165,0.5601910027645137
0,3,0,40.0,1,1,15.5,Third,man,True,no,False,1,0,0.030253985132996517,0.49736114601658704
0,3,0,36.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.4470972606182458
1,2,1,32.0,0,0,13.0,Second,woman,False,yes,True,0,1,0.025374310111545468,0.39683337521990447
0,2,0,19.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.2334757476752953
1,3,1,19.0,1,0,7.8542,Third,woman,False,yes,False,0,1,0.015330377421392339,0.2334757476752953
1,2,0,3.0,1,1,26.0,Second,child,False,yes,False,0,1,0.050748620223090936,0.032420206081930136
1,1,1,44.0,0,0,27.7208,First,woman,False,yes,True,0,0,0.05410739813385612,0.5476250314149284
1,1,1,58.0,0,0,146.5208,First,woman,False,yes,True,0,0,0.2859895551532101,0.723548630309123
0,3,0,28.0,0,0,7.75,Third,man,True,no,True,1,0,0.015126992566498259,0.34656948982156316
0,3,0,42.0,0,1,8.4042,Third,man,True,no,False,0,1,0.01640390592611157,0.5224930887157577
1,3,1,28.0,0,0,7.75,Third,woman,False,yes,True,1,0,0.015126992566498259,0.34656948982156316
0,2,1,24.0,0,0,13.0,Second,woman,False,no,True,0,1,0.025374310111545468,0.2963056044232219
0,3,0,28.0,0,0,9.5,Third,man,True,no,True,0,1,0.018542765081513996,0.34656948982156316
0,3,0,28.0,8,2,69.55,Third,man,True,no,False,0,1,0.13575255909676825,0.34656948982156316
0,3,0,34.0,0,0,6.4958,Third,man,True,no,True,0,1,0.012678957201736696,0.4219653179190751
0,3,0,45.5,0,0,7.225,Third,man,True,no,True,0,0,0.014102260811993537,0.5664739884393064
1,3,0,18.0,0,0,8.05,Third,man,True,yes,True,0,1,0.015712553569072387,0.22090977632571
0,3,1,2.0,0,1,10.4625,Third,child,False,no,False,0,1,0.02042143996477265,0.01985423473234481
0,3,0,32.0,1,0,15.85,Third,man,True,no,False,0,1,0.030937139635999665,0.39683337521990447
1,3,0,26.0,0,0,18.7875,Third,man,True,yes,True,0,0,0.036670757786204655,0.32143754712239253
1,3,1,16.0,0,0,7.75,Third,woman,False,yes,True,1,0,0.015126992566498259,0.19577783362653933
1,1,0,40.0,0,0,31.0,First,man,True,yes,True,0,0,0.060507970265993034,0.49736114601658704
0,3,0,24.0,0,0,7.05,Third,man,True,no,True,0,1,0.013760683560491965,0.2963056044232219
1,2,1,35.0,0,0,21.0,Second,woman,False,yes,True,0,1,0.04098927018018883,0.4345312892686604
0,3,0,22.0,0,0,7.25,Third,man,True,no,True,0,1,0.014151057562208049,0.2711736617240512
0,2,0,30.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.37170143252073384
0,3,0,28.0,1,0,7.75,Third,man,True,no,False,1,0,0.015126992566498259,0.34656948982156316
1,1,1,31.0,1,0,113.275,First,woman,False,yes,False,0,0,0.22109807522194713,0.38426740387031916
1,3,1,27.0,0,0,7.925,Third,woman,False,yes,True,0,1,0.015468569817999833,0.33400351847197784
0,2,0,42.0,1,0,27.0,Second,man,True,no,False,0,1,0.05270049023167135,0.5224930887157577
1,1,1,32.0,0,0,76.2917,First,woman,False,yes,True,0,0,0.14891148113361488,0.39683337521990447
0,2,0,30.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.37170143252073384
1,3,0,16.0,0,0,8.05,Third,man,True,yes,True,0,1,0.015712553569072387,0.19577783362653933
0,2,0,27.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.33400351847197784
0,3,0,51.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.6355868308620256
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.34656948982156316
1,1,0,38.0,1,0,90.0,First,man,True,yes,False,0,1,0.17566830077223786,0.4722292033174164
0,3,0,22.0,0,0,9.35,Third,man,True,no,True,0,1,0.018249984580226933,0.2711736617240512
1,2,0,19.0,0,0,10.5,Second,man,True,yes,True,0,1,0.020494635090094415,0.2334757476752953
0,3,0,20.5,0,0,7.25,Third,man,True,no,True,0,1,0.014151057562208049,0.2523247046996733
0,2,0,18.0,0,0,13.0,Second,man,True,no,True,0,1,0.025374310111545468,0.22090977632571
0,3,1,28.0,3,1,25.4667,Third,woman,False,no,False,0,1,0.049707687947515,0.34656948982156316
1,1,1,35.0,1,0,83.475,First,woman,False,yes,False,0,1,0.16293234896625058,0.4345312892686604
0,3,0,29.0,0,0,7.775,Third,man,True,no,True,0,1,0.015175789316712771,0.35913546117114853
0,2,0,59.0,0,0,13.5,Second,man,True,no,True,0,1,0.026350245115835676,0.7361146016587082
1,3,1,5.0,4,2,31.3875,Third,child,False,yes,False,0,1,0.06126431989431795,0.05755214878110078
0,2,0,24.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.2963056044232219
0,3,1,28.0,0,0,7.55,Third,woman,False,no,True,0,1,0.014736618564782174,0.34656948982156316
0,2,0,44.0,1,0,26.0,Second,man,True,no,False,0,1,0.050748620223090936,0.5476250314149284
1,2,1,8.0,0,2,26.25,Second,child,False,yes,False,0,1,0.05123658772523604,0.09525006282985675
0,2,0,19.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.2334757476752953
0,2,0,33.0,0,0,12.275,Second,man,True,no,True,0,1,0.023959204355324663,0.4093993465694898
0,3,1,28.0,1,0,14.4542,Third,woman,False,no,False,0,0,0.028212719478023115,0.34656948982156316
1,3,1,28.0,1,0,15.5,Third,woman,False,yes,False,1,0,0.030253985132996517,0.34656948982156316
0,2,0,29.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.35913546117114853
0,3,0,22.0,0,0,7.125,Third,man,True,no,True,0,1,0.013907073811135496,0.2711736617240512
0,3,0,30.0,0,0,7.225,Third,man,True,no,True,0,0,0.014102260811993537,0.37170143252073384
0,1,0,44.0,2,0,90.0,First,man,True,no,False,1,0,0.17566830077223786,0.5476250314149284
0,3,1,25.0,0,0,7.775,Third,woman,False,no,True,0,1,0.015175789316712771,0.3088715757728072
1,2,1,24.0,0,2,14.5,Second,woman,False,yes,False,0,1,0.028302115124416098,0.2963056044232219
1,1,0,37.0,1,1,52.5542,First,man,True,yes,False,0,1,0.10257896680493714,0.4596632319678311
0,2,0,54.0,1,0,26.0,Second,man,True,no,False,0,1,0.050748620223090936,0.6732847449107816
0,3,0,28.0,0,0,7.25,Third,man,True,no,True,0,1,0.014151057562208049,0.34656948982156316
0,3,1,29.0,1,1,10.4625,Third,woman,False,no,False,0,1,0.02042143996477265,0.35913546117114853
0,1,0,62.0,0,0,26.55,First,man,True,no,True,0,1,0.051822148727810165,0.7738125157074642
0,3,0,30.0,1,0,16.1,Third,man,True,no,False,0,1,0.031425107138144774,0.37170143252073384
0,3,1,41.0,0,2,20.2125,Third,woman,False,no,False,0,1,0.039452172548431745,0.5099271173661725
1,3,1,29.0,0,2,15.2458,Third,woman,False,yes,False,0,0,0.029757819776815374,0.35913546117114853
1,1,1,28.0,0,0,79.2,First,woman,False,yes,True,0,0,0.15458810467956932,0.34656948982156316
1,1,1,30.0,0,0,86.5,First,woman,False,yes,True,0,1,0.16883675574220638,0.37170143252073384
1,1,1,35.0,0,0,512.3292,First,woman,False,yes,True,0,0,1.0,0.4345312892686604
1,2,1,50.0,0,1,26.0,Second,woman,False,yes,False,0,1,0.050748620223090936,0.6230208595124404
0,3,0,28.0,0,0,7.75,Third,man,True,no,True,1,0,0.015126992566498259,0.34656948982156316
1,3,0,3.0,4,2,31.3875,Third,child,False,yes,False,0,1,0.06126431989431795,0.032420206081930136
0,1,0,52.0,1,1,79.65,First,man,True,no,False,0,1,0.1554664461834305,0.648152802211611
0,1,0,40.0,0,0,0.0,First,man,True,no,True,0,1,0.0,0.49736114601658704
0,3,1,28.0,0,0,7.75,Third,woman,False,no,True,1,0,0.015126992566498259,0.34656948982156316
0,2,0,36.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.4470972606182458
0,3,0,16.0,4,1,39.6875,Third,man,True,no,False,0,1,0.07746484096553544,0.19577783362653933
1,3,0,25.0,1,0,7.775,Third,man,True,yes,False,0,1,0.015175789316712771,0.3088715757728072
